Vce_50A,Vce_100A,Vce_275A,Vce_550A,Vce_1200A,Vce_2500A,Vce_3400A,Ic_1_5V,Ic_2_5V,Ic_4V,Ic_6V,Ic_8V,Ic_10V,mean_dIdV,max_dIdV,area_IV,mean_Ic_highV,Vge,Temp,HealthState
1.42360913100664,10,10,10,10,10,10,57.0371369854796,81.0869099517856,82.5065059671111,84.3735393965317,86.2118860819514,88.0223379986376,8.71953262831035,104.141364312656,727.959748354749,87.1646600224876,8,25,Healthy
1.38997335139998,1.79717878211008,10,10,10,10,10,64.1987444583395,153.285178693301,160.655225501744,164.157031728991,167.599962154608,170.985786350674,16.9376032930853,128.830170658611,1367.69966579137,169.382195323852,8,75,Healthy
1.41674560303428,1.78677456935793,10,10,10,10,10,61.2065669094644,180.867674983643,231.130574368937,236.159174481318,241.102509548218,245.963160890166,24.3647325570426,136.089708370345,1900.39805613585,243.66112032409,8,125,Warning
1.43532405916494,1.80341312281246,8.30105230425161,10,10,10,10,58.5889376078131,184.619024212346,262.766574358656,268.510657320376,274.158099832327,279.711804879727,27.7078903421019,136.662889220154,2123.20096024516,277.081469626293,8,150,Fault
1.22052992659679,1.42705005730818,2.1223754164359,4.73998432595143,10,10,10,118.622425695861,358.817331049158,544.616617057504,555.484619758484,564.007242056623,572.314237521149,56.6850922396789,258.06740301077,4342.66257249377,568.385936345348,10,25,Healthy
1.27265390552342,1.49979373137092,2.24616256262034,3.84086566166544,10,10,10,100.047268352348,330.313789582208,566.48568907909,619.12827994186,629.306182300615,639.242166346396,63.315623551345,238.536127968014,4668.42390342098,634.542258123543,10,75,Healthy
1.32464303080878,1.57239047960238,2.37720154436569,3.9689132453966,10,10,10,84.6293489733744,300.566210999234,554.012599071719,668.53638896143,680.198749837105,691.60070511438,68.503250051411,220.472083205492,4858.15873334066,686.205991421439,10,125,Warning
1.34980438202856,1.60913458377509,2.444880908844,4.06066173720249,10,10,10,77.992515067472,286.193592846824,542.039430967083,688.898423676219,701.25539896393,713.329341607244,70.6562607575236,212.12113118619,4912.83530752797,707.615994852143,10,150,Fault
1.19325374457196,1.36746189304199,1.90211030997486,2.74878985390563,7.86632155041567,10,10,141.697567072811,471.67297119615,893.749486705567,1181.18678903248,1200.99333094767,1215.6212606134,120.394247004643,334.312192672081,8325.56107949247,1208.70875457433,12,25,Healthy
1.24314371505039,1.43770937527605,2.02632233112984,2.95852993581849,6.68019460398045,10,10,117.407502895503,417.576694785209,818.498558297162,1154.20201431135,1216.40533200668,1232.898317309,122.109438959916,304.007050376808,8102.52630862648,1225.10176095599,12,75,Healthy
1.29496124644659,1.50842606985018,2.15409061476487,3.17769851748806,7.10869759974854,10,10,97.8330783348407,370.363845190189,747.969706385896,1101.37662974468,1222.73789843412,1240.82718396039,122.898419216034,277.222843879744,7816.65441843605,1232.27329556133,12,125,Warning
1.31920519237027,1.54323426616489,2.2192732150471,3.29059423311892,7.37417977387597,10,10,89.5477345643288,349.11088437455,714.902363352226,1070.8535514483,1222.81744134647,1242.10192268668,123.026378338821,264.959863461088,7657.2277194602,1233.21236254374,12,150,Fault
1.17724445175588,1.33689330135769,1.80635395182904,2.50302947408994,4.22181025205636,10,10,157.990067775764,548.805479164029,1120.48862057515,1767.44583619563,2194.33655101332,2312.9620866719,229.063436175288,395.943443912513,13128.4465216451,2281.09987227119,15,25,Healthy
1.22582205062869,1.40197433238163,1.91289025373676,2.67132858719319,4.56320928227156,10,10,131.449167376986,487.873188183896,1015.67089819473,1621.3688839118,2053.15720245284,2244.67807588458,222.390561326149,363.691673108055,12184.1439009869,2176.28860127012,15,75,Healthy
1.27318093723101,1.46586643546944,2.02358155637933,2.8502883552916,4.93413829614345,10,10,109.602470165864,433.446822345971,920.605500330744,1487.53679294251,1913.42057869351,2153.41106890136,213.552122296615,333.697334510745,11271.2651101729,2056.65959309064,15,125,Warning
1.29843788328439,1.49906751722737,2.08042903749044,2.94355631708137,5.13020166021081,10,10,100.244995505169,408.609435466528,876.667646179071,1425.16306134579,1845.79223599563,2100.94943431839,208.424626750482,319.623978905937,10834.6609562363,1995.00384725447,15,150,Fault
1.16741081276895,1.31847812204578,1.75108450725247,2.37839900751977,3.83849905905471,6.92476375783808,9.41650338108066,170.115017137024,604.110720266183,1271.22000522829,2126.74511185939,2910.00533682953,3581.58176350484,356.105471367598,446.592937435341,16806.2898623012,3273.84153778936,20,25,Healthy
1.21450904115963,1.3771474650687,1.84172191928107,2.51121993248054,4.07331888378987,7.43482752813968,10,143.065592639762,545.320470182098,1169.83672341328,1968.54445625545,2697.08736296542,3324.6462010691,330.580756577782,418.073261501161,15530.2600818484,3036.37361268936,20,75,Healthy
1.25784889829,1.43596304712416,1.93574637408448,2.65293899074449,4.3317272839286,8.01147924790752,10,120.191823352897,490.584786382693,1073.05074878175,1817.6662449425,2496.35306924382,3084.68337916224,306.74464514311,389.818378729352,14326.7578401148,2813.78819347167,20,125,Warning
1.28085992504278,1.46545385373626,1.98410403909607,2.72712324956171,4.46959112068287,8.32479734608547,10,110.22080843288,464.918646107227,1026.8450133068,1745.61468013988,2401.0508023241,2971.23908037015,295.476289009529,376.062152570628,13755.6391385047,2708.39867933465,20,150,Fault
